mutator,step_num,domain,entropy,watermark_detected,watermark_score
DocumentMutator,145,Mental Health ,high,False,-1
DocumentMutator,146,Mental Health ,high,False,-1
DocumentMutator,147,Mental Health ,high,False,-1
DocumentMutator,148,Mental Health ,high,False,-1
DocumentMutator,149,Mental Health ,high,False,-1
DocumentMutator,150,Mental Health ,high,False,-1
DocumentMutator,151,Mental Health ,high,False,-1
DocumentMutator,152,Mental Health ,high,False,-1
DocumentMutator,153,Mental Health ,high,False,-1
DocumentMutator,154,Mental Health ,high,False,-1
DocumentMutator,155,Mental Health ,high,False,-1
DocumentMutator,156,Mental Health ,high,False,-1
DocumentMutator,157,Mental Health ,high,False,-1
DocumentMutator,158,Mental Health ,high,False,-1
DocumentMutator,159,Mental Health ,high,False,-1
DocumentMutator,160,Mental Health ,high,False,-1
DocumentMutator,161,Mental Health ,high,False,-1
DocumentMutator,162,Mental Health ,high,False,-1
DocumentMutator,163,Mental Health ,high,False,-1
DocumentMutator,164,Mental Health ,high,False,-1
DocumentMutator,165,Mental Health ,high,False,-1
DocumentMutator,166,Mental Health ,high,False,-1
DocumentMutator,167,Mental Health ,high,False,-1
DocumentMutator,168,Mental Health ,high,False,-1
DocumentMutator,169,Mental Health ,high,False,-1
DocumentMutator,170,Mental Health ,high,False,-1
DocumentMutator,171,Mental Health ,high,False,-1
DocumentMutator,172,Mental Health ,high,False,-1
DocumentMutator,173,Mental Health ,high,False,-1
DocumentMutator,174,Mental Health ,high,False,-1
DocumentMutator,175,Mental Health ,high,False,-1
DocumentMutator,176,Mental Health ,high,False,-1
DocumentMutator,177,Mental Health ,high,False,-1
DocumentMutator,178,Mental Health ,high,False,-1
DocumentMutator,179,Mental Health ,high,False,-1
DocumentMutator,180,Mental Health ,high,False,-1
DocumentMutator,181,Mental Health ,high,False,-1
DocumentMutator,182,Mental Health ,high,False,-1
DocumentMutator,183,Mental Health ,high,False,-1
DocumentMutator,184,Mental Health ,high,False,-1
DocumentMutator,185,Mental Health ,high,False,-1
DocumentMutator,186,Mental Health ,high,False,-1
DocumentMutator,187,Mental Health ,high,False,-1
DocumentMutator,188,Mental Health ,high,False,-1
DocumentMutator,189,Mental Health ,high,False,-1
DocumentMutator,190,Mental Health ,high,False,-1
DocumentMutator,191,Mental Health ,high,False,-1
DocumentMutator,192,Mental Health ,high,False,-1
DocumentMutator,193,Mental Health ,high,False,-1
DocumentMutator,194,Mental Health ,high,False,-1
DocumentMutator,195,Mental Health ,high,False,-1
DocumentMutator,196,Mental Health ,high,False,-1
DocumentMutator,197,Mental Health ,high,False,-1
DocumentMutator,198,Mental Health ,high,False,-1
DocumentMutator,199,Mental Health ,high,False,-1
DocumentMutator,200,Mental Health ,high,False,-1
DocumentMutator,200,Entertainment ,high,False,-1
DocumentMutator,0,Entertainment ,high,False,-1
DocumentMutator,1,Entertainment ,high,False,-1
DocumentMutator,2,Entertainment ,high,False,-1
DocumentMutator,3,Entertainment ,high,False,-1
DocumentMutator,4,Entertainment ,high,False,-1
DocumentMutator,5,Entertainment ,high,False,-1
DocumentMutator,6,Entertainment ,high,False,-1
DocumentMutator,7,Entertainment ,high,False,-1
DocumentMutator,8,Entertainment ,high,False,-1
DocumentMutator,9,Entertainment ,high,False,-1
DocumentMutator,10,Entertainment ,high,False,-1
DocumentMutator,11,Entertainment ,high,False,-1
DocumentMutator,12,Entertainment ,high,False,-1
DocumentMutator,13,Entertainment ,high,False,-1
DocumentMutator,14,Entertainment ,high,False,-1
DocumentMutator,15,Entertainment ,high,False,-1
DocumentMutator,16,Entertainment ,high,False,-1
DocumentMutator,17,Entertainment ,high,False,-1
DocumentMutator,18,Entertainment ,high,False,-1
DocumentMutator,19,Entertainment ,high,False,-1
DocumentMutator,20,Entertainment ,high,False,-1
DocumentMutator,21,Entertainment ,high,False,-1
DocumentMutator,22,Entertainment ,high,False,-1
DocumentMutator,23,Entertainment ,high,False,-1
DocumentMutator,24,Entertainment ,high,False,-1
DocumentMutator,25,Entertainment ,high,False,-1
DocumentMutator,26,Entertainment ,high,False,-1
DocumentMutator,27,Entertainment ,high,False,-1
DocumentMutator,28,Entertainment ,high,False,-1
DocumentMutator,29,Entertainment ,high,False,-1
DocumentMutator,30,Entertainment ,high,False,-1
DocumentMutator,31,Entertainment ,high,False,-1
DocumentMutator,32,Entertainment ,high,False,-1
DocumentMutator,33,Entertainment ,high,False,-1
DocumentMutator,34,Entertainment ,high,False,-1
DocumentMutator,35,Entertainment ,high,False,-1
DocumentMutator,36,Entertainment ,high,False,-1
DocumentMutator,37,Entertainment ,high,False,-1
DocumentMutator,38,Entertainment ,high,False,-1
DocumentMutator,39,Entertainment ,high,False,-1
DocumentMutator,40,Entertainment ,high,False,-1
DocumentMutator,41,Entertainment ,high,False,-1
DocumentMutator,42,Entertainment ,high,False,-1
DocumentMutator,43,Entertainment ,high,False,-1
DocumentMutator,44,Entertainment ,high,False,-1
DocumentMutator,45,Entertainment ,high,False,-1
DocumentMutator,46,Entertainment ,high,False,-1
DocumentMutator,47,Entertainment ,high,False,-1
DocumentMutator,48,Entertainment ,high,False,-1
DocumentMutator,49,Entertainment ,high,False,-1
DocumentMutator,50,Entertainment ,high,False,-1
DocumentMutator,51,Entertainment ,high,False,-1
DocumentMutator,52,Entertainment ,high,False,-1
DocumentMutator,53,Entertainment ,high,False,-1
DocumentMutator,54,Entertainment ,high,False,-1
DocumentMutator,55,Entertainment ,high,False,-1
DocumentMutator,56,Entertainment ,high,False,-1
DocumentMutator,57,Entertainment ,high,False,-1
DocumentMutator,58,Entertainment ,high,False,-1
DocumentMutator,59,Entertainment ,high,False,-1
DocumentMutator,60,Entertainment ,high,False,-1
DocumentMutator,61,Entertainment ,high,False,-1
DocumentMutator,62,Entertainment ,high,False,-1
DocumentMutator,63,Entertainment ,high,False,-1
DocumentMutator,64,Entertainment ,high,False,-1
DocumentMutator,65,Entertainment ,high,False,-1
DocumentMutator,66,Entertainment ,high,False,-1
DocumentMutator,67,Entertainment ,high,False,-1
DocumentMutator,68,Entertainment ,high,False,-1
DocumentMutator,69,Entertainment ,high,False,-1
DocumentMutator,70,Entertainment ,high,False,-1
DocumentMutator,71,Entertainment ,high,False,-1
DocumentMutator,72,Entertainment ,high,False,-1
DocumentMutator,73,Entertainment ,high,False,-1
DocumentMutator,74,Entertainment ,high,False,-1
DocumentMutator,75,Entertainment ,high,False,-1
DocumentMutator,76,Entertainment ,high,False,-1
DocumentMutator,77,Entertainment ,high,False,-1
DocumentMutator,78,Entertainment ,high,False,-1
DocumentMutator,79,Entertainment ,high,False,-1
DocumentMutator,80,Entertainment ,high,False,-1
DocumentMutator,81,Entertainment ,high,False,-1
DocumentMutator,82,Entertainment ,high,False,-1
DocumentMutator,83,Entertainment ,high,False,-1
DocumentMutator,84,Entertainment ,high,False,-1
DocumentMutator,85,Entertainment ,high,False,-1
DocumentMutator,86,Entertainment ,high,False,-1
DocumentMutator,87,Entertainment ,high,False,-1
DocumentMutator,88,Entertainment ,high,False,-1
DocumentMutator,89,Entertainment ,high,False,-1
DocumentMutator,90,Entertainment ,high,False,-1
DocumentMutator,91,Entertainment ,high,False,-1
DocumentMutator,92,Entertainment ,high,False,-1
DocumentMutator,93,Entertainment ,high,False,-1
DocumentMutator,94,Entertainment ,high,False,-1
DocumentMutator,95,Entertainment ,high,False,-1
DocumentMutator,96,Entertainment ,high,False,-1
DocumentMutator,97,Entertainment ,high,False,-1
DocumentMutator,98,Entertainment ,high,False,-1
DocumentMutator,99,Entertainment ,high,False,-1
DocumentMutator,100,Entertainment ,high,False,-1
DocumentMutator,101,Entertainment ,high,False,-1
DocumentMutator,102,Entertainment ,high,False,-1
DocumentMutator,103,Entertainment ,high,False,-1
DocumentMutator,104,Entertainment ,high,False,-1
DocumentMutator,105,Entertainment ,high,False,-1
DocumentMutator,106,Entertainment ,high,False,-1
DocumentMutator,107,Entertainment ,high,False,-1
DocumentMutator,108,Entertainment ,high,False,-1
DocumentMutator,109,Entertainment ,high,False,-1
DocumentMutator,110,Entertainment ,high,False,-1
